beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
"BraufactuM Progusta","Radeberger Gruppe","IPA - Other",6.8,50,"A light IPA, but super tasty and consistent",,,,,,,3.25,"2020-09-25 18:27:38",https://untappd.com/c/946043287,https://untappd.com/beer/314318,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"malty,light,smooth,hoppy",,Draft,946043287,314318,4936,,3.62,3.62,,0,0
"BraufactuM The Brale","Radeberger Gruppe","Brown Ale - English",5,30,"Interesting flavors",BraufactuM,Berlin,Berlin,Deutschland,52.5235,13.4109,3.5,"2020-09-25 18:29:49",https://untappd.com/c/946044395,https://untappd.com/beer/769051,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"malty,hoppy,dark",,Draft,946044395,769051,4936,,3.39,3.4,,0,0
"BraufactuM Darkon","Radeberger Gruppe",Schwarzbier,5.4,25,"I am not the biggest fan of Stout beer, but it is tasty. I enjoy everything I have had from this beer",BraufactuM,Berlin,Berlin,Deutschland,52.5235,13.4109,3,"2020-09-25 18:39:13",https://untappd.com/c/946048902,https://untappd.com/beer/118007,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"malty,light,smooth,dark,coffee",,Draft,946048902,118007,4936,,3.45,3.46,,0,0
"BraufactuM Indra","Radeberger Gruppe","IPA - White / Wheat",6.8,35,"I absolutely love this beer. The fusion is very, very nice between the IPA and Weizen.",BraufactuM,Berlin,Berlin,Deutschland,52.5235,13.4109,4,"2020-09-25 18:45:49",https://untappd.com/c/946052151,https://untappd.com/beer/1130364,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"fruity,banana,sweet,hoppy",,Draft,946052151,1130364,4936,,3.57,3.57,,0,0
"BraufactuM Yakeros","Radeberger Gruppe","IPA - American",6.5,65,Tasty,BraufactuM,Berlin,Berlin,Deutschland,52.5235,13.4109,3.25,"2020-09-25 19:23:34",https://untappd.com/c/946072533,https://untappd.com/beer/1805851,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"piney,fruity,light,smooth,hoppy",,Draft,946072533,1805851,4936,,3.54,3.54,,0,0
"BraufactuM Palor","Radeberger Gruppe","Pale Ale - American",5.2,25,"Tasty, not the best from them though",BraufactuM,Berlin,Berlin,Deutschland,52.5235,13.4109,3,"2020-09-25 19:28:29",https://untappd.com/c/946075503,https://untappd.com/beer/181707,https://untappd.com/brewery/4936,Germany,"Frankfurt am Main",Hessen,"fruity,light,hoppy",,Draft,946075503,181707,4936,,3.37,3.38,,0,0
"La Trappe Witte Trappist","Bierbrouwerij De Koningshoeven","Wheat Beer - Witbier / Blanche",5.5,14,"Sweet, tasty though","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3,"2020-10-02 19:39:59",https://untappd.com/c/948665144,https://untappd.com/beer/17860,https://untappd.com/brewery/110,Netherlands,Berkel-Enschot,Noord-Brabant,"banana,light,sweet,smooth",,Bottle,948665144,17860,110,,3.61,3.61,,0,0
"Trappist Westvleteren Blond","Brouwerij De Sint-Sixtusabdij van Westvleteren","Belgian Blonde",5.8,41,"Easily one of the best beers ever made","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,4.5,"2020-10-08 18:20:34",https://untappd.com/c/950844762,https://untappd.com/beer/4681,https://untappd.com/brewery/263,Belgium,Westvleteren,Vlaanderen,"light,smooth",,Bottle,950844762,4681,263,,4.05,4.05,,0,0
"Braustüb'l India Pale Ale","Darmstädter Privatbrauerei","IPA - Other",6.7,67,"Very, very strong but solid mix and excellent blend of a unique flavor.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,3.5,"2020-11-14 21:18:13",https://untappd.com/c/964362284,https://untappd.com/beer/1784396,https://untappd.com/brewery/2650,Germany,Darmstadt,Hessen,"malty,fruity,strong,caramel",,Bottle,964362284,1784396,2650,,3.19,3.26,,0,0
"New England Road Trip",Hopfmeister,"IPA - New England / Hazy",6.3,35,"I do not know what to think. Interest, but strange at the same time.","Untappd at Home",,Everywhere,"United States",34.2347,-77.9482,2.75,"2020-11-14 21:39:38",https://untappd.com/c/964387129,https://untappd.com/beer/3809031,https://untappd.com/brewery/190643,Germany,Munich,Bayern,"fruity,sweet,bitter,mango,Passion Fruit",,Bottle,964387129,3809031,190643,,3.67,3.67,,0,0
